engine,box_position,code,runtime_min
nll_beta,0,4MAA,1.191667
nll_beta,0,4ME9,1.173333
nll_beta,0,4MG5,2.245
nll_beta,0,4MG6,1.711667
nll_beta,0,4MJG,1.235
nll_beta,0,4N39,1.92
nll_beta,0,4N5X,0.305
nll_beta,0,4NPJ,1.005
nll_beta,0,4NUF,0.561667
nll_beta,0,4NWZ,2.243333
nll_beta,0,4O62,1.778333
nll_beta,0,4O92,0.421667
nll_beta,0,4OC8,3.208333
nll_beta,0,4OF8,2.673333
nll_beta,0,4OFF,0.331667
nll_beta,0,4OX3,0.993333
nll_beta,0,4PDE,0.5
nll_beta,0,4PFS,0.756667
nll_beta,0,4PQZ,0.321667
nll_beta,0,4PRA,0.85
nll_beta,0,4PSI,0.498333
nll_beta,0,4PV4,1.71
nll_beta,0,4Q13,0.658333
nll_beta,0,4Q63,0.775
nll_beta,0,4QH8,1.783333
nll_beta,0,4QKO,2.341667
nll_beta,0,4QN8,0.925
nll_beta,0,4QQR,1.655
nll_beta,0,4QTP,0.693333
nll_beta,0,4QXA,1.03
nll_beta,0,4R10,1.13
nll_beta,0,4REV,0.981667
nll_beta,0,4RHO,0.623333
nll_beta,0,4RK2,3.631667
nll_beta,0,4RO5,1.24
nll_beta,0,4RQM,0.968333
nll_beta,0,4TWL,1.031667
nll_beta,0,4U7A,1.666667
nll_beta,0,4UCI,2.135
nll_beta,0,4UDA,0.556667
nll_beta,0,4UDP,1.366667
nll_beta,0,4UWX,1.525
nll_beta,0,4UYI,0.665
nll_beta,0,4V15,3.165
nll_beta,0,4W2R,3.086667
nll_beta,0,4WAL,0.323333
nll_beta,0,4WIP,0.74
nll_beta,0,4WWM,0.696667
nll_beta,0,4X3E,0.561667
nll_beta,0,4XLG,1.93
nll_beta,0,4ZSF,0.85
nll_beta,0,4ZV9,4.421667
nll_beta,0,5A0T,4.121667
nll_beta,0,5AA5,13.036667
nll_beta,0,5AD0,1.06
nll_beta,0,5B5I,0.675
nll_beta,0,5B5Q,1.646667
nll_beta,0,5BOV,3.376667
nll_beta,0,5BV6,0.706667
nll_beta,0,5C5V,2.445
nll_beta,0,5C7F,2.403333
nll_beta,0,5C8H,0.326667
nll_beta,0,5CVR,1.091667
nll_beta,0,5CX2,0.815
nll_beta,0,5D5H,0.946667
nll_beta,0,5DAY,1.331667
nll_beta,0,5DBE,0.528333
nll_beta,0,5DRM,0.906667
nll_beta,0,5000000000000000.0,1.728333
nll_beta,0,5EBB,1.935
nll_beta,0,5EG2,2.003333
nll_beta,0,5EGE,2.215
nll_beta,0,5ETA,2.08
